Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,186553.202,225515.98900000003,211398.322,235603.51099999994,255912.02599999995,318504.40399999986,347352.573,412666.19599999994,429093.0940000001,489102.9439999998,567237.5249999999,616011.7590000001,707275.1300000001,793872.6240000001,839952.6190000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,1693.057,1616.95,1543.226,1800.791,2119.358,2286.237,2370.011,2756.097,2805.601,3294.447,3759.98,4255.192,4606.357,5543.227,6172.66
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,4217.252,5070.567,4880.494,5646.892,6468.152,7717.179,7929.373,8820.568,8820.425,9830.507,10920.273,11828.944,13606.798,15852.971,16785.436
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,643.688,874.582,843.623,1060.765,1399.101,1731.407,1860.197,2157.296,2126.413,2476.249,2578.436,2934.232,3481.59,4116.512,4616.88
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,592.563,824.29,744.059,865.077,1076.467,1408.347,1416.486,1600.561,1769.936,2285.517,2649.925,3015.91,3236.062,3295.035,3397.049
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,3275.729,3910.553,3464.378,3868.327,4329.538,5544.053,6104.649,8057.002,8529.375,10191.836,11363.294,11996.021,13722.544,14792.141,15590.48
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,634.429,776.394,740.801,855.57,1006.303,1104.768,1209.945,1548.202,1582.069,2032.026,2203.755,2278.354,2702.047,2938.059,3177.457
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,1789.751,2013.832,2071.282,2525.305,2594.055,3490.869,3850.697,4411.492,4964.626,6377.893,7271.51,7881.202,7964.443,8375.412,8380.801
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,3749.041,4652.194,4044.812,4633.39,5070.164,6315.497,6807.35,8052.924,8331.364,9580.972,11358.263,12735.571,14480.074,16232.913,17877.137
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,87502.346,105137.885,95444.788,104777.365,110061.535,136116.926,150708.856,182508.047,187377.95,206710.525,246155.876,267316.624,310075.666,350900.485,363567.448
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,1353.249,1631.45,1656.744,1674.002,1808.814,2392.023,2660.932,2888.551,3283.884,3734.15,4241.65,4428.819,4954.688,5301.779,5705.216
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,4510.654,5628.218,6020.387,7142.423,8262.569,10372.763,10619.344,12546.518,12643.903,14785.268,16292.577,17805.807,20386.143,23718.804,25090.956
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,1580.154,2138.665,1813.707,2059.806,2358.61,2814.089,3212.111,3943.66,4649.317,5346.295,5323.14,5820.836,6495.247,7022.231,7019.302
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,1225.164,1747.122,1584.776,1888.963,2067.46,2520.536,2728.336,3268.04,3353.096,4026.808,4562.225,5047.685,6002.443,7057.492,7813.626
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,10913.274,13658.766,12825.374,14311.44,15646.742,19432.601,20777.956,24325.141,24014.034,27329.234,31430.076,33456.636,38385.784,42235.548,46248.575
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,11475.304,14468.364,13254.295,14971.488,16366.735,20262.063,22842.821,26015.845,27911.81,32403.611,37426.123,40432.076,44212.348,49252.918,52100.773
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,3336.882,3996.925,3889.675,4387.661,4850.587,5852.466,5931.495,7379.985,7952.278,9345.013,10389.178,11436.105,13245.507,15422.607,16854.94
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,1415.815,1911.817,1742.08,1939.816,2215.137,2723.08,2882.54,3419.753,3628.187,4290.812,4963.402,5376.169,5869.904,6413.435,6566.16
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,707.8,982.292,873.373,944.063,1151.764,1458.201,1708.574,1872.989,2056.202,2404.415,2681.546,2851.927,3091.533,3378.331,3577.937
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,15653.357,17797.788,16807.71,17959.875,20905.509,26853.444,28885.741,34311.834,35594.709,40672.82,48349.809,52606.497,62764.213,72645.224,82964.635
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,1619.33,1966.541,2025.157,2422.337,2502.391,3011.876,3458.383,3718.623,3953.555,4563.007,5059.495,5706.844,6535.282,6929.357,7286.206
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,4324.991,5115.371,4985.445,5503.258,5938.315,7546.426,7175.361,8571.332,9297.712,10729.693,11986.561,14099.862,15678.886,17835.388,18313.267
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,1746.219,2168.337,2146.807,2399.664,2839.352,3548.681,4147.832,4757.078,6389.665,7316.136,8149.709,9072.736,10169.496,11459.523,12462.899
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Quintana Roo<C1>,1250.731,1607.706,1777.144,2349.001,2841.08,3598.827,4046.633,4628.851,5028.074,5712.436,6446.933,7123.67,8628.445,9806.172,10769.954
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,1950.945,2449.466,2467.919,2768.581,2974.25,3743.565,3878.005,4558.34,4919.45,5825.043,6505.075,6911.182,7685.221,8842.12,9508.221
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sinaloa<C1>,2983.007,3456.744,3959.76,4728.333,5158.18,6937.751,7298.197,7898.062,8170.38,9740.051,10687.818,11396.001,13075.082,14453.013,15803.895
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sonora<C1>,3380.905,3993.038,3822.422,4133.696,4509.077,5771.094,6043.806,8526.686,7461.907,8430.762,9627.067,10513.797,11863.98,13152.468,13802.458
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tabasco<C1>,1422.179,1781.958,1874.735,2070.308,2115.364,2725.832,2910.34,3476.548,3970.503,4983.292,5819.112,5914.355,6525.029,6484.387,6307.438
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tamaulipas<C1>,3778.341,4645.344,4419.739,4933.724,5444.098,6619.147,7192.367,8723.589,8773.346,10424.392,11609.125,12110.187,14651.534,15073.603,15175.517
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tlaxcala<C1>,489.824,561.869,560.47,679.05,763.357,968.758,971.995,1156.175,1270.607,1515.154,1692.242,1897.074,2161.133,2250.88,2285.033
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,4575.385,5460.955,5655.82,6334.349,6599.722,8280.89,10040.594,10443.681,11940.636,14892.959,16798.914,17829.103,19560.389,20726.221,21594.78
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Yucatán<C1>,1871.862,2346.992,2316.427,2693.323,3038.275,3578.981,3890.494,4249.578,4357.935,5065.451,5763.959,6315.19,7164.81,7941.114,8569.445
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Zacatecas<C1>,889.974,1123.014,1140.893,1274.868,1429.965,1776.027,1791.152,2073.148,2164.145,2786.17,3170.477,3617.151,4292.452,4423.254,4566.038
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Aguascalientes<C1>,0.907546470309,0.717000159133,0.730008632708,0.764331139361,0.828158814233,0.717803889456,0.682307022957,0.667875640582,0.653844361336,0.673569243533,0.662858121031,0.690764735873,0.651282196223,0.698251436366,0.734881927906
