Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,600736.0240000001,608467.971,619986.896,619721.4329999997,631131.2050000001,638658.729,640928.8989999999,641237.8690000001,651644.6220000001,660766.818,664031.1340000002,667188.977,666601.9670000001,673473.855,681620.5180000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,6677.825,6852.194,6684.725,6760.985,7069.032,7019.417,7191.685,7094.235,7200.443,7254.667,7259.207,7124.184,7816.086,7997.696,8082.426
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,16421.995,16347.646,17473.141,16610.487,16962.882,18078.661,17554.32,17670.598,18664.244,19468.398,20007.433,19480.112,19213.207,20009.511,20474.002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,3278.415,3365.373,3695.216,3596.051,3591.427,3222.259,3600.676,4005.65,4177.97,4317.197,4464.304,4309.376,4607.146,4915.548,5165.923
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,5036.965,5188.901,5483.526,5400.893,5451.258,5420.494,5406.656,5533.575,5862.926,5607.405,5561.424,5481.042,5739.68,5763.435,5766.49
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,14747.709,15350.669,15793.121,15757.678,16095.915,16102.468,16418.29,16234.227,16199.849,15964.257,16003.067,16290.215,15870.912,16074.415,15754.86
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,4578.053,4507.602,4602.99,4495.855,4614.176,4754.806,4620.211,4690.026,4506.401,4632.559,4784.86,4702.229,4789.76,4937.631,4987.227
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,21293.977,21755.019,22177.974,22126.065,23797.48,22638.773,23487.188,23615.699,24301.572,23459.264,24609.494,25959.224,24166.502,25624.019,27037.459
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,15865.265,16184.349,16560.629,18382,18581.106,20568.74,18994.446,19109.543,19976.858,20740.228,18875.321,19282.549,19131.857,19582.9,20017.06
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,93638.177,93462.96,94421.195,91335.802,94494.058,95341.514,94472.571,90221.824,93905.744,97478.897,94612.135,92923.397,90178.281,92112.422,94828.733
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,10113.389,9939.161,10223.206,10368.755,10219.184,10412.955,10419.8,10111.201,10473.242,10545.106,10953.923,10947.79,10908.927,10348.479,10510.86
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,21223.267,21215.937,21723.981,21602.743,21492.401,21955.682,22690.989,22971.307,23582.438,23767.605,24408.49,23823.923,23518.315,24389.543,24655.614
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,17696.722,18310.906,18030.97,17570.159,16872.293,16099.801,17099.512,16775.256,16832.699,16644.351,16414.913,16261.362,16327.448,17317.188,17500.669
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,13029.928,13391.41,13734.794,14011.311,13587.396,13558.714,13280.706,13275.998,13431.645,13825.649,14524.047,15173.846,14735.877,15318.912,15737.82
