Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,1284124.2359999998,1304755.6919999996,1307651.4889999998,1288869.256,1256576.8360000004,1191502.7340000006,1131388.299,1143275.808,1147826.749,1160655.235,1153599.4159999995,1131756.2309999997,1081656.4019999998,1034812.451,950055.6390000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,612.409,591.588,525.114,547.61,640.402,546.709,607.026,546.047,532.226,565.88,1009.658,1020.174,833.436,768.771,789.484
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,713.251,714.906,649.857,637.565,676.115,633.732,501.249,506.697,502.688,500.549,472.977,457.927,542.751,553.823,588.693
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,2050.038,2374.331,2461.831,2233.277,2337.344,2566.072,2582.215,2494.697,2568.893,2698.443,3751.217,3893.381,4169.025,4704.389,4617.96
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,943778.483,947427.4199999999,912182.804,873954.95,813725.936,740530.234,656207.316,621430.1560000001,594460.1370000001,579665.9430000001,584402.2289999999,559121.132,511938.218,483076.616,429092.232
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,12670.002,11896.068000000001,14543.929,13802.301000000001,14708.878,14786.788,14168.491,17026.906,18313.978000000003,18201.254,17057.789,16931.054,14393.515,14841.698999999999,15290.541000000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,1780.135,1637.999,1719.236,1815.934,1967.38,1743.017,1641.786,1861.592,1775.507,1888.985,1878.566,1738.075,1505.133,1560.895,1610.162
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,19628.152000000002,16270.858999999999,14811.37,14175.441,13568.92,13999.074,15692.295,18167.839,17960.438000000002,17851.765,18279.21,17715.33,14716.404999999999,11228.827000000001,7696.951
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,6954.267,6452.668,10532.03,12694.393,13036.211,12382.729,10722.232,10952.012,11778.946,14567.72,16371.439,15184.956,13610.05,16432.903,20370.493
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,121.846,120.317,109.016,125.591,123.045,104.31,110.028,95.373,112.093,121.634,102.602,117.614,109.62,125.877,127.562
