Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,106401.90599999999,112084.97200000002,116772.99599999998,124126.005,125273.60799999996,129398.08,129025.70899999999,127141.943,131562.063,134911.97699999998,135815.85399999996,140325.37200000003,147714.15899999996,158782.656,161786.472
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,352.324,424.164,422.59,506.877,544.828,550.679,561.265,559.886,612.383,661.882,740.627,706.416,648.237,449.064,530.058
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,2642.112,3005.154,2953.027,3192.806,3239.849,3291.798,2961.705,2838.257,3010.828,3463.999,3578.062,3243.743,3081.237,3681.416,3712.978
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,176.717,170.946,162.65,154.974,148.999,141.066,135.911,133.073,147.646,176.477,245.584,270.217,335.983,385.636,400.808
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,556.423,558.89,575.278,533.587,536.612,549.887,536.929,456.085,475.865,384.03,361.964,260.634,307.081,333.414,310.35
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,2905.255,3098.914,2521.898,2922.365,2958.975,2973.681,2912.665,2923.851,6470.049,7330.892,7269.864,7260.197,6853.553,10483.352,11723.077
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,27.984,31.519,36.255,36.917,38.976,41.371,42.037,40.758,45.418,46.452,48.775,50.262,55.533,65.253,49.276
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,835.811,901.597,1002.934,914.472,729.459,783.465,978.572,1010.115,959.144,848.24,925.008,1237.923,1684.748,1788.546,1841.393
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,2716.905,2752.791,2738.277,3051.893,2390.473,2310.307,2060.97,1565.833,1386.261,1900.336,1995.391,1833.016,1582.7,1329.789,1333.348
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,9820.187,10079.87,11711.559,12185.429,11396.271,12039.118,12505.595,13247.445,13009.334,13335.43,13346.493,11584.217,10219.157,9405.858,9239.706
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,331.541,370.876,305.243,295.343,305.209,307.822,293.328,285.398,319.036,370.933,418.914,399.373,451.201,455.888,458.19
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,2028.694,2341.743,2089.724,2131.15,2197.776,2448.809,2539.626,2637.143,3092.919,2066.395,1833.442,6011.985,10034.982,10526.385,11143.872
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,393.449,405.652,624.889,610.123,567.605,544.898,540.893,482.399,532.343,532.526,540.791,442.25,409.283,446.378,471.208
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,906.86,958.556,958.032,1085.568,1103.332,944.171,1417.45,1333.796,1501.817,1524.057,1380.869,1139.37,1085.719,1210.258,1306.498
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,17574.449,18959.023,21430.907,23037.224,23445.876,26251.291,25628.073,25840.71,25037.269,28535.173,30894.27,31904.54,33886.337,35154.702,35838.964
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,10273.455,10041.393,13334.338,15177.483,15306.53,15076.235,15124.378,15809.729,16643.287,17329.327,19695.114,13955.231,9574.438,9917.902,10132.085
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,721.051,1077.22,582.59,573.262,540.341,512.428,527.521,508.924,567.044,568.052,576.256,812.419,1360.746,1586.549,1620.247
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,718.826,723.858,663.234,678.816,529.843,577.62,578.834,582.611,603.446,523.518,469.574,657.025,896.998,924.155,930.083
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,668.356,701.298,820.703,821.124,918.636,905.017,929.755,887.353,1039.617,1081.117,1137.529,1097.024,1032.824,1043.214,1135.492
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,22698.255,22968.695,20762.104,21487.237,20832.309,20850.072,20579.224,19852.063,19385.994,17721.568,17194.455,17967.053,19815.014,23145.404,23581.597
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,4448.502,4724.629,5312.791,6301.332,7513.106,7070.127,7287.402,4286.558,4772.964,4469.246,5028.749,5335.841,6149.093,6771.033,6158.636
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,1862.917,2176.49,2305.67,2172.759,2109.784,2340.9,2295.255,1909.518,1903.871,1896.446,1815.843,1500.121,1568.978,1537.073,1476.421
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,2155.601,2600.7,2598.884,2458.949,2562.607,2636.664,2351.037,2170.26,2515.223,2453.556,1888.078,2206.925,2582.776,2680.439,2809.151
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Quintana Roo<C1>,263.512,289.073,262.959,297.893,311.957,397.835,403.825,391.101,412.687,380.938,359.385,355.471,343.998,312.323,311.846
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,1245.037,1272.458,1249.756,1142.863,1137.271,1174.587,1118.412,1160.208,1277.573,1273.077,1346.55,1311.482,1352.356,1310.906,1275.28
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sinaloa<C1>,1993.389,1797.421,1985.159,2023.138,1959.797,1841.544,1700.227,1682.894,1730.728,1865.983,1891.772,1828.785,1791.402,2241.688,2343.405
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sonora<C1>,2734.059,3071.89,3098.602,3249.192,3715.127,3609.283,3671.784,3766.244,3893.2,3952.892,4006.844,3973.859,4232.462,4120.621,4275.711
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tabasco<C1>,1093.211,1099.982,1045.12,985.605,1107.34,1122.073,1238.856,1568.593,1588.21,1629.016,1433.473,1399.417,1508.093,1512.575,1464.274
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tamaulipas<C1>,1995.42,2267.155,2253.028,2429.951,2513.062,2480.733,2423.461,2421.556,2676.848,3108.177,1533.496,2643.962,3599.234,3960.42,3999.448
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tlaxcala<C1>,1445.689,2180.673,1339.916,1522.288,1313.205,1596.519,1448.105,1440.407,1204.522,875.859,838.717,1787.25,2159.408,2268.244,2376.891
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,5227.67,4984.048,4204.219,4149.742,4845.416,5133.735,4924.897,5062.769,5439.288,5737.032,5054.449,7227.282,8579.264,9250.591,9706.357
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Yucatán<C1>,898.54,887.634,865.806,901.465,916.864,937.099,943.854,1070.467,1102.946,1095.633,1021.603,985.569,984.357,985.913,987.121
