Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,804281.4500000002,834126.231,849827.4019999999,885065.4660000004,915001.3679999999,910374.4849999999,844317.5339999999,912749.348,948311.9059999997,986349.6889999999,1011495.6849999999,1046458.646,1090290.049,1123104.3629999997,1169810.1739999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,6266.424,6500.057,6770.76,7415.261,8382.462,8958.613,7435.071,7835.702,8222.822,8599.783,8875.456,9279.995,9641.833,9880.412,10159.332
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,20674.419,22732.635,24128.357,24361.618,25195.42,24904.873,21252.318,22050.088,22814.857,22830.639,22878.774,23357.049,24336.537,25936.022,26966.633
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,5551.252,6016.889,6503.856,6653.604,6865.238,7157.277,6485.168,7267.881,7568.701,7865.442,8205.893,8402.774,8481.626,8597.687,9317.733
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,10403.867,11544.297,11841.352,12328.361,12771.002,13783.511,12364.82,12076.406,11967.706,12271.137,12744.401,12644.37,10679.887,9529.088,8926.247
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,26503.842,27774.462,28661.156,30917.314,33032.399,32744.944,30462.234,33211.573,34834.401,37335.514,38166.645,39976.151,41750.793,43518.913,48257.024
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,5739.132,6035.575,6178,6731.233,7269.156,7316.805,6510.711,7563.311,8275.101,8764.785,9083.544,9635.698,10145.229,10786.028,11681.434
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,15306.389,14782.942,13555.53,13623.396,14316.175,14370.438,12678.47,12748.464,12966.589,13415.136,13328.975,13810.028,13938.82,13860.15,13317.964
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,16089.456,16283.53,16785.817,17769.056,18385.81,17991.081,15689.262,17408.943,18072.099,19076.993,19990.86,21106.707,23126.3,25384.329,27511.871
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,191106.885,194831.528,192360.288,197503.474,200625.582,196627.314,184640.574,196240.406,201801.202,210065.996,216994.359,221431.049,233386.787,239798.796,250200.792
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,10014.621,10893.251,11224.183,12029.226,12482.29,12893.306,11542.433,12492.581,12547.032,12522.344,12595.58,13092.805,13356.426,14170.317,14303.041
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,30955.467,32258.49,32854.756,34905.781,35741.807,38530.191,35378.14,39451.05,40881.518,42619.551,44131.413,46333.544,48189.431,49066.36,51464.773
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,19100.711,20466.354,21057.129,18614.276,18729.796,18435.96,18773.575,20321.469,21439.165,22354.551,22382.915,22584.916,23114.367,23489.493,22835.739
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,9847.905,10250.566,10961.172,11741.699,13055.309,15340.467,14370.892,16944.746,17597.483,18315.802,19925.879,21194.107,22735.93,24124.42,26033.191
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,42529.326,43624.256,43586.38,45197.142,46246.12,44842.546,41643.311,45115.212,46218.87,48007.686,49776.156,52012.122,55160.511,57696.825,59650.236
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,55040.012,56633.999,59628.899,65497.071,68002.554,66211.784,61562.331,67295.194,70213.341,74040.52,76269.434,79973.579,83242.574,90336.685,96320.418
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,23524.129,23281.638,23272.282,23675.975,23966.063,22511.727,21758.413,23304.744,24816.36,25842.254,26654.987,27238.766,27920.323,28817.868,30109.342
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,15835.066,15347.079,15176.643,15417.663,14804.59,12422.752,11641.733,12334.119,13056.853,13899.715,13529.061,13427.759,13845.08,14388.119,14294.463
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,4026.095,4167.516,4324.187,4396.52,4503.63,4513.076,4024.946,4074.898,4386.245,4440.883,4525.892,4684.381,4949.361,5110.427,5139.034
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,75771.621,81144.653,82672.727,86856.494,90057.489,89456.452,78226.377,86626.878,92165.397,98946.48,101055.652,106406.956,112001.253,113065.685,120125.878
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,11693.685,12225.76,12633.298,12539.789,12771.586,13291.653,12611.953,13421.528,12817.442,13038.796,13346.534,13566.017,13935.695,14319.808,13477.792
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,31467.152,32906.035,33545.978,34866.986,35723.592,33989.559,31695.124,34034.035,35275.178,36767.399,37948.483,38656.853,40447.692,41114.102,41727.888
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,15208.357,16872.885,18970.624,20338.517,23721.107,28748.032,30503.159,31201.746,30304.392,28212.46,27809.278,28147.772,27575.235,27905.107,28275.987
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Quintana Roo<C1>,9034.299,10038.298,10122.496,11007.363,13112.287,13053.58,12047.034,12772.888,13064.368,13509.807,14379.416,15400.867,16814.597,18372.74,19625.04
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,14067.18,14719.656,14962.942,15711.876,16029.441,15292.361,14298.698,15805.26,16607.82,16915.62,17304.443,17762.016,18612.041,18980.261,19420.268
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sinaloa<C1>,20085.502,19991.468,19896.803,20526.013,20943.113,20140.988,17964.16,19190.249,20180.445,21511.49,21708.498,21958.453,22633.539,23814.564,24693.62
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sonora<C1>,16534.737,17307.055,17450.159,18327.083,18780.692,19027.636,17188.739,18921.407,19628.293,20133.174,20059.976,20383.375,21006.996,21286.607,22415.918
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tabasco<C1>,10496.135,10715.814,11227.074,11532.05,11825.382,12416.684,11644.847,13225.551,13532.889,14072.532,14675.016,15369.551,16281.225,15954.747,15660.009
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tamaulipas<C1>,30882.33,32196.257,33859.615,35414.12,36437.35,35341.837,32983.245,36415.811,39594.071,42056.479,43586.623,46464.468,47977.148,48399.375,51243.815
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tlaxcala<C1>,5770.454,6045.741,6383.782,7372.613,7605.261,7759.862,7153.79,7460.371,7522.659,7488.348,7573.467,7375.882,7188.297,7116.79,6757.197
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,43317.554,44724.128,47168.411,49101.425,50526.605,49193.36,47862.954,53157.791,56943.38,58070.701,58597.099,60771.49,63458.598,63638.874,64883.109
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Yucatán<C1>,8474.511,8702.019,8785.178,9238.241,9603.134,9557.508,8665.587,9155.628,9217.288,9415.89,9431.55,9859.091,10082.379,10286.586,10579.531
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Zacatecas<C1>,2962.935,3111.398,3277.568,3454.226,3488.926,3548.308,3257.465,3623.418,3777.939,3941.782,3959.426,4150.055,4273.539,4357.178,4434.855
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Aguascalientes<C1>,0.779133225067,0.779265386752,0.796721779513,0.837820622865,0.916114695907,0.984058005536,0.880601278618,0.858472483949,0.867100997886,0.871879729462,0.877458612194,0.886799973938,0.884336512916,0.87974121778,0.868459877149
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California<C1>,2.570545298539,2.725323117191,2.839206754597,2.752521585787,2.753593697359,2.735673441024,2.517100160092,2.415787866441,2.405838928695,2.314659725107,2.2618755907,2.23200879359,2.232115850486,2.309315398858,2.305214435586
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California Sur<C1>,0.690212611518,0.721340341112,0.765314931561,0.751764050864,0.750298113215,0.786190421407,0.768095857168,0.796262524419,0.798123586988,0.797429358747,0.811263272962,0.802972389986,0.77792382016,0.765528768585,0.796516666301
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Campeche<C1>,1.293560481844,1.3839987967,1.393383170763,1.392932102042,1.395735836758,1.514048474239,1.464475094035,1.323080211064,1.26200102775,1.244095997277,1.259956042225,1.208300972841,0.979545489734,0.848459708103,0.763050894786
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,3.295344185795,3.329767242388,3.372585531197,3.493223404109,3.610092853981,3.59686530538,3.607912044143,3.638630153259,3.673306301397,3.785220841693,3.773287970082,3.820136720434,3.829328997205,3.874877031352,4.125201256798
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Colima<C1>,0.713572593276,0.723580529624,0.726971145607,0.760535040467,0.794442090932,0.803713759618,0.771121140782,0.828629570273,0.872613846525,0.888608279371,0.89803091943,0.920791092589,0.930507346124,0.960376288735,0.998575175668
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Chiapas<C1>,1.903113518284,1.772266768577,1.595092129072,1.539252916688,1.564606950402,1.578519415557,1.501623440169,1.396710282832,1.367333776784,1.360079102737,1.317749071762,1.319691710015,1.278450629975,1.234092792853,1.138472232162
