Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,398365.74,412776.54199999996,416217.03100000013,427567.596,429204.90700000006,423722.915,412288.909,418447.353,416002.23099999997,415734.83499999996,418092.76599999995,412650.83799999993,402033.357,384536.0379999999,371862.0409999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,294.731,299.61199999999997,342.775,360.131,602.237,761.1800000000001,599.111,777.5619999999999,788.792,876.018,1125.521,1457.813,1334.563,1483.8509999999999,1709.6129999999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,3475.326,3685.9429999999998,3907.6890000000003,4076.339,3852.0170000000003,3225.217,3129.983,3466.969,3497.23,3904.875,4275.612999999999,4974.68,5376.359,5248.732,5523.799999999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,22.419,20.843,21.317,25.674,27.219,27.857,23.43,24.811999999999998,31.966,33.419,32.504,32.664,32.506,28.608999999999998,29.879
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,87.983,71.665,69.099,68.024,72.49,93.362,99.39,86.80499999999999,100.79099999999998,99.12199999999999,86.021,104.62799999999999,108.71000000000001,106.78200000000001,111.521
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,5465.91,5312.091,4506.372,3992.543,4156.154,3894.3819999999996,4104.899,4965.951,5173.076999999999,6123.928,6894.863,7395.5830000000005,7652.558,7058.159,7114.331
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,153.37900000000002,144.073,134.697,130.129,126.34299999999999,133.617,124.14699999999999,172.09199999999998,226.257,219.518,186.874,170.431,193.066,206.03,193.018
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,20257.845999999998,18523.288,16384.822,17317.568,17847.817,16938.44,17145.815000000002,17250.739,18080.332000000002,17466.773,16662.611999999997,17605.592,16572.946,15239.277999999998,11676.503999999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,2752.95,2932.389,3014.734,3254.5800000000004,3588.4,3932.531,4183.495,4909.705,3621.571,3263.418,3511.268,4092.2429999999995,4272.706,4701.471,5403.471
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,52985.214,54511.674,55645.145000000004,57645.454999999994,59258.864,59337.064,54654.417,49223.657999999996,46735.227,44149.467,42666.146,42236.309,39278.125,37856.502,37796.64
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,554.245,608.294,631.6610000000001,683.2059999999999,719.754,698.248,623.6800000000001,683.3919999999999,700.622,753.62,842.152,805.521,820.156,849.785,771.995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,21908.841,23301.013,23075.395,23854.977,23159.548,23984.941,23706.317,25038.159,25796.245,26653.239,27649.378,27219.238,27169.130999999998,28194.466,28328.888
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,79.99499999999999,96.30199999999999,89.553,87.93900000000001,89.02799999999999,96.109,84.77900000000001,92.509,108.401,62.446,64.719,68.708,58.479,47.157000000000004,36.663
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,17730.597999999998,19537.904000000002,18705.93,17169.775999999998,17896.65,16660.367000000002,18040.583,16504.912,17005.569,16309.765,14957.739999999998,15490.210000000001,14627.427999999998,12701.396999999999,13335.655
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,25547.466,26174.521,27635.697999999997,28428.93,26598.732000000004,26020.076999999997,22916.684,23354.525,23552.799,24791.564,23585.626,24436.539000000004,26760.542999999998,26919.013000000003,28353.673
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,44584.28,45472.479,47635.593,49923.77099999999,50462.309,48870.755,47831.776999999995,49301.102,49563.835999999996,50050.5,50984.090000000004,48337.693,48769.7,50679.536,51991.807
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,2132.618,2309.927,2444.654,2464.6639999999998,2409.949,2547.9210000000003,3159.8770000000004,3148.048,3130.201,3259.319,3081.2299999999996,3038.288,3153.859,3148.384,3317.3900000000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,5554.987,5484.117,5397.669,5606.711,5905.534,5406.399,5666.34,5657.641,5652.507,5682.653,6067.261,5858.467,6108.296,5770.74,5870.366
